playerID,yearid,votedBy,ballots,needed,votes,inducted,category,Batter,Pitcher
cobbty01,1936,BBWAA,226,170,222,Y,Player,24,2
ruthba01,1936,BBWAA,226,170,215,Y,Player,22,10
wagneho01,1936,BBWAA,226,170,215,Y,Player,21,2
mathech01,1936,BBWAA,226,170,205,Y,Player,18,18
johnswa01,1936,BBWAA,226,170,189,Y,Player,21,21
lajoina01,1936,BBWAA,226,170,146,N,Player,22,0
speaktr01,1936,BBWAA,226,170,133,N,Player,22,1
youngcy01,1936,BBWAA,226,170,111,N,Player,23,23
hornsro01,1936,BBWAA,226,170,105,N,Player,24,0
cochrmi01,1936,BBWAA,226,170,80,N,Player,13,0
sislege01,1936,BBWAA,226,170,77,N,Player,16,7
collied01,1936,BBWAA,226,170,60,N,Player,25,0
colliji01,1936,BBWAA,226,170,58,N,Player,16,0
alexape01,1936,BBWAA,226,170,55,N,Player,21,21
gehrilo01,1936,BBWAA,226,170,51,N,Player,17,0
bresnro01,1936,BBWAA,226,170,47,N,Player,18,3
keelewi01,1936,BBWAA,226,170,40,N,Player,20,0
ansonca01,1936,Veterans,78,59,39,N,Player,27,2
ewingbu01,1936,Veterans,78,59,39,N,Player,18,6
keelewi01,1936,Veterans,78,59,33,N,Player,20,0
wadderu01,1936,BBWAA,226,170,33,N,Player,14,14
youngcy01,1936,Veterans,78,59,32,N,Player,23,23
delahed01,1936,Veterans,78,59,21,N,Player,16,0
foxxji01,1936,BBWAA,226,170,21,N,Player,21,2
walshed01,1936,BBWAA,226,170,20,N,Player,14,14
mcgrajo01,1936,Veterans,78,59,17,N,Player,17,0
delahed01,1936,BBWAA,226,170,17,N,Player,16,0
radboch01,1936,Veterans,78,59,16,N,Player,12,11
traynpi01,1936,BBWAA,226,170,16,N,Player,17,0
kellyki01,1936,Veterans,78,59,15,N,Player,18,7
longhe01,1936,Veterans,78,59,15,N,Player,17,0
friscfr01,1936,BBWAA,226,170,14,N,Player,19,0
grovele01,1936,BBWAA,226,170,12,N,Player,17,17
jennihu01,1936,Veterans,78,59,11,N,Player,20,0
rusieam01,1936,Veterans,78,59,11,N,Player,10,10
chaseha01,1936,BBWAA,226,170,11,N,Player,17,1
youngro01,1936,BBWAA,226,170,10,N,Player,10,0
clarkfr01,1936,Veterans,78,59,9,N,Player,21,0
terrybi01,1936,BBWAA,226,170,9,N,Player,14,0
colliji01,1936,Veterans,78,59,8,N,Player,16,0
klingjo01,1936,BBWAA,226,170,8,N,Player,14,0
crigelo01,1936,BBWAA,226,170,7,N,Player,16,0
comisch01,1936,Veterans,78,59,6,N,Player,13,3
dennyje01,1936,Veterans,78,59,6,N,Player,15,1
langebi01,1936,Veterans,78,59,6,N,Player,7,0
robinwi01,1936,Veterans,78,59,6,N,Player,18,0
stoveha01,1936,Veterans,78,59,6,N,Player,16,3
wrighge01,1936,Veterans,78,59,6,N,Player,12,2
brownmo01,1936,BBWAA,226,170,6,N,Player,15,15
eversjo01,1936,BBWAA,226,170,6,N,Player,19,0
clarkjo01,1936,Veterans,78,59,5,N,Player,13,13
wagneho01,1936,Veterans,78,59,5,N,Player,21,2
chancfr01,1936,BBWAA,226,170,5,N,Player,17,0
spaldal01,1936,Veterans,78,59,4,N,Player,8,7
mcgrajo01,1936,BBWAA,226,170,4,N,Player,17,0
schalra01,1936,BBWAA,226,170,4,N,Player,18,0
simmoal01,1936,BBWAA,226,170,4,N,Player,21,0
barnero01,1936,Veterans,78,59,3,N,Player,9,1
bennech01,1936,Veterans,78,59,3,N,Player,15,0
duffyhu01,1936,Veterans,78,59,3,N,Player,17,0
nichoki01,1936,Veterans,78,59,3,N,Player,16,16
wardjo01,1936,Veterans,78,59,3,N,Player,17,7
broutda01,1936,Veterans,78,59,2,N,Player,20,2
dunlafr01,1936,Veterans,78,59,2,N,Player,14,2
glassja01,1936,Veterans,78,59,2,N,Player,20,4
hamilbi01,1936,Veterans,78,59,2,N,Player,14,0
lajoina01,1936,Veterans,78,59,2,N,Player,22,0
willine01,1936,Veterans,78,59,2,N,Player,13,7
