playerID,yearid,votedBy,ballots,needed,votes,inducted,category,Batter,Pitcher,Which One
cobbty01,1936,BBWAA,226,170,222,Y,Player,24,2,Batter
ruthba01,1936,BBWAA,226,170,215,Y,Player,22,10,Batter
wagneho01,1936,BBWAA,226,170,215,Y,Player,21,2,Batter
mathech01,1936,BBWAA,226,170,205,Y,Player,18,18,Pitcher
johnswa01,1936,BBWAA,226,170,189,Y,Player,21,21,Pitcher
lajoina01,1936,BBWAA,226,170,146,N,Player,22,0,Batter
speaktr01,1936,BBWAA,226,170,133,N,Player,22,1,Batter
youngcy01,1936,BBWAA,226,170,111,N,Player,23,23,Pitcher
hornsro01,1936,BBWAA,226,170,105,N,Player,24,0,Batter
cochrmi01,1936,BBWAA,226,170,80,N,Player,13,0,Batter
sislege01,1936,BBWAA,226,170,77,N,Player,16,7,Batter
collied01,1936,BBWAA,226,170,60,N,Player,25,0,Batter
colliji01,1936,BBWAA,226,170,58,N,Player,16,0,Batter
alexape01,1936,BBWAA,226,170,55,N,Player,21,21,Pitcher
gehrilo01,1936,BBWAA,226,170,51,N,Player,17,0,Batter
bresnro01,1936,BBWAA,226,170,47,N,Player,18,3,Batter
keelewi01,1936,BBWAA,226,170,40,N,Player,20,0,Batter
ansonca01,1936,Veterans,78,59,39,N,Player,27,2,Batter
ewingbu01,1936,Veterans,78,59,39,N,Player,18,6,Batter
keelewi01,1936,Veterans,78,59,33,N,Player,20,0,Batter
wadderu01,1936,BBWAA,226,170,33,N,Player,14,14,Pitcher
youngcy01,1936,Veterans,78,59,32,N,Player,23,23,Pitcher
delahed01,1936,Veterans,78,59,21,N,Player,16,0,Batter
foxxji01,1936,BBWAA,226,170,21,N,Player,21,2,Batter
walshed01,1936,BBWAA,226,170,20,N,Player,14,14,Pitcher
mcgrajo01,1936,Veterans,78,59,17,N,Player,17,0,Batter
delahed01,1936,BBWAA,226,170,17,N,Player,16,0,Batter
radboch01,1936,Veterans,78,59,16,N,Player,12,11,Pitcher
traynpi01,1936,BBWAA,226,170,16,N,Player,17,0,Batter
kellyki01,1936,Veterans,78,59,15,N,Player,18,7,Batter
longhe01,1936,Veterans,78,59,15,N,Player,17,0,Batter
friscfr01,1936,BBWAA,226,170,14,N,Player,19,0,Batter
grovele01,1936,BBWAA,226,170,12,N,Player,17,17,Pitcher
jennihu01,1936,Veterans,78,59,11,N,Player,20,0,Batter
rusieam01,1936,Veterans,78,59,11,N,Player,10,10,Pitcher
chaseha01,1936,BBWAA,226,170,11,N,Player,17,1,Batter
youngro01,1936,BBWAA,226,170,10,N,Player,10,0,Batter
clarkfr01,1936,Veterans,78,59,9,N,Player,21,0,Batter
terrybi01,1936,BBWAA,226,170,9,N,Player,14,0,Batter
colliji01,1936,Veterans,78,59,8,N,Player,16,0,Batter
klingjo01,1936,BBWAA,226,170,8,N,Player,14,0,Batter
crigelo01,1936,BBWAA,226,170,7,N,Player,16,0,Batter
