,Year,Stint,TeamID,LgId,W,L,G,GS,CG,SHO,SV,IPO,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BF,GF,R
AmakaSe95,1939,1,YAM,,1,3,12,5,3,1,,152,47,12,0,23,9,,2.13,,0,3,0,222,,18
AokiSh95,1939,1,OSA,,2,0,10,4,1,0,,106,27,6,2,12,12,,1.53,,0,1,1,146,,10
ArakiMa96,1939,1,HNK,,9,2,17,6,9,3,,344,88,22,2,33,36,0.21,1.73,,1,1,0,461,2,29
AsanoKa95,1939,1,HNK,,4,2,7,3,1,1,,101,28,14,0,11,13,0.217,3.74,,1,0,0,144,3,20
AsaokSa95,1939,1,TSN,,9,8,34,27,9,2,,638,173,31,4,84,86,,1.31,,1,2,0,875,,53
BokuKe80,1939,1,OSA,,0,1,2,0,0,0,,25,12,1,0,3,2,,1.08,,0,0,0,39,,1
FukusIs95,1939,1,LIO,,12,19,52,34,18,3,,882,241,92,7,140,79,,2.82,,1,3,1,1256,,121
FurukMa80,1939,1,EAG,,1,5,14,6,1,0,,162,81,45,5,32,14,,7.5,,1,0,0,266,,58
FuruyKu95,1939,1,NGK,,7,18,45,30,10,0,,732,206,66,7,129,107,,2.43,,4,1,0,1056,,102
HiranSh95,1939,1,YAM,,3,3,18,7,3,0,,196,55,16,2,33,15,,2.2,,2,2,0,284,,28
IshidMi95,1939,1,HNK,,8,7,30,10,9,3,,455,117,45,3,95,64,0.217,2.67,,0,2,0,653,10,57
IsobeTa95,1939,1,NGK,,0,1,11,1,0,0,,115,47,21,0,19,7,,4.93,,0,2,0,188,,37
ItoJi96,1939,1,TSN,,0,0,5,3,0,0,,47,24,8,0,1,5,,4.6,,0,0,0,70,,10
IzutsKe95,1939,1,LIO,,0,0,1,0,0,0,,9,7,1,0,0,2,,3,,0,0,0,17,,2
KageuMa95,1939,1,OSA,,2,2,6,4,1,0,,96,33,16,1,14,13,,4.5,,0,1,0,140,,19
KamedTa95,1939,1,EAG,,14,27,55,43,30,4,,1113,306,127,8,280,208,,3.08,,14,3,2,1641,,184
KamedTo95,1939,1,OSA,,0,0,2,0,0,0,,15,7,2,0,4,2,,3.6,,1,0,2,24,,2
KanekYu95,1939,1,TSN,,7,10,28,18,6,4,,444,126,52,3,67,73,,3.16,,0,2,1,637,,69
KaritHi95,1939,1,TSN,,0,1,6,4,1,0,,93,29,15,1,13,8,,4.35,,1,1,0,136,,17
KawakTe95,1939,1,KYO,,6,4,18,12,5,1,,308,81,27,2,64,54,,2.37,,3,2,0,449,,46
KikuyYo95,1939,1,LIO,,16,21,55,39,22,3,,1005,277,110,4,209,151,,2.96,,14,4,1,1487,,169
KimurTs95,1939,1,YAM,,0,0,3,0,0,0,,24,7,4,0,11,6,,4.5,,1,1,0,44,,5
KinosIs95,1939,1,OSA,,4,3,19,10,3,0,,246,82,35,1,33,20,,3.84,,1,2,1,356,,48
KondoHi95,1939,1,LIO,,3,12,38,22,7,2,,544,169,68,4,108,80,,3.38,,5,1,0,823,,102
KusunYa95,1939,1,KYO,,6,2,14,8,4,0,,212,57,17,3,32,23,,2.17,,0,5,0,298,,25
MatsuKo99,1939,1,NAG,,8,13,38,21,13,3,,578,164,55,3,133,101,,2.57,,4,2,0,856,,97
MisonTa95,1939,1,OSA,,14,3,21,18,15,1,,481,112,35,3,41,66,,1.96,,0,1,0,616,,40
MiwaHa95,1939,1,OSA,,2,5,12,1,0,0,,125,27,10,0,28,24,,2.16,,1,1,0,176,,14
MiyagBi95,1939,1,YAM,,10,13,47,28,11,3,,703,201,81,4,141,89,,3.11,,1,7,0,1011,,102
MochiJu95,1939,1,EAG,,8,27,46,34,22,3,,887,278,99,8,166,120,,3.01,,4,5,2,1324,,146
MoriHi95,1939,1,HNK,,7,3,15,6,7,2,,321,97,32,4,38,25,0.235,2.69,,0,0,0,458,0,41
MoritMi95,1939,1,NGK,,0,0,3,0,0,0,,21,6,5,0,8,3,,6.43,,0,0,0,34,,6
MuramYu95,1939,1,NAG,,5,3,10,9,4,1,,210,45,8,3,24,23,,1.03,,0,1,0,275,,16
NaitoKo95,1939,1,NGK,,0,1,9,4,1,0,,97,23,16,3,30,14,,4.45,,1,2,0,152,,23
NakagMi96,1939,1,EAG,,6,6,17,13,9,2,,330,94,20,1,54,43,,1.64,,0,3,0,475,,39
NakamMa95,1939,1,YAM,,18,19,46,41,26,5,,1024,253,84,1,181,97,,2.21,,3,11,0,1419,,116
NakamSa95,1939,1,NAG,,2,3,9,5,3,0,,141,57,23,0,26,15,,4.4,,0,2,1,219,,29
NakaoHi95,1939,1,KYO,,12,5,39,27,12,5,,672,153,65,4,174,137,,2.61,,6,3,0,971,,82
NakayMa95,1939,1,NGK,,25,21,60,43,30,8,,1139,281,86,3,175,178,,2.04,,2,2,1,1573,,124
NishiMi94,1939,1,NAG,,6,10,31,23,9,1,,554,119,44,6,111,67,,2.14,,3,3,0,760,,58
NishiYu95,1939,1,OSA,,11,9,29,19,11,2,,502,139,45,4,72,89,,2.42,,1,1,2,710,,60
NogucJi95,1939,1,TSN,,33,19,69,52,38,8,,1377,364,104,17,108,221,,2.04,,3,5,0,1824,,128
OkamoTo97,1939,1,LIO,,2,6,10,5,3,0,,146,54,27,1,30,23,,4.99,,0,0,0,229,,35
OmiyaKi95,1939,1,NGK,,2,8,19,11,3,0,,265,83,37,1,51,26,,3.77,,0,2,0,400,,53
OsawaNo95,1939,1,NAG,,3,6,17,12,5,1,,304,89,35,4,58,23,,3.11,,0,4,0,440,,47
OtsukTs95,1939,1,TSN,,0,0,1,0,0,0,,15,8,3,0,5,0,,5.4,,0,1,0,29,,7
RyuSe95,1939,1,YAM,,8,12,28,19,9,2,,483,138,43,4,88,29,,2.4,,0,4,0,709,,73
SeikeCh95,1939,1,EAG,,0,0,4,0,0,0,,27,9,5,0,8,0,,5,,0,2,0,45,,7
ShigeMi95,1939,1,HNK,,13,12,33,10,13,2,,599,152,48,4,66,70,0.208,2.16,,4,3,0,809,9,68
ShigeSa95,1939,1,NAG,,14,18,40,29,22,3,,781,232,67,5,125,77,,2.32,,3,2,0,1107,,102
ShiotIn95,1939,1,TSN,,0,0,1,0,0,0,,9,5,2,0,3,0,,6,,0,0,0,16,,3
StarfVi95,1939,1,KYO,,42,15,68,52,38,10,,1375,316,88,4,156,282,,1.73,,6,11,0,1838,26,114
SuzukTs95,1939,1,NGK,,2,3,11,4,1,0,,116,45,20,3,14,12,,4.66,,1,1,0,170,,23
TakahSa96,1939,1,HNK,,17,10,37,3,19,9,,726,165,43,3,52,65,0.191,1.6,,1,1,1,933,14,53
TanakMi95,1939,1,NAG,,0,0,1,0,0,0,,1,2,0,0,0,0,,0,,0,0,0,2,,0
TsuneSu95,1939,1,NGK,,0,4,7,1,0,0,,81,40,21,0,21,10,,7,,0,0,0,141,,30
TsuriTs95,1939,1,OSA,,0,0,1,0,0,0,,9,7,4,0,5,0,,12,,0,0,0,17,,4
WakabTa95,1939,1,OSA,,28,7,48,39,25,8,,990,248,40,4,91,99,,1.09,,1,3,0,1326,,79
AmakaSe95,1940,1,YAM,,2,5,16,8,3,1,,209,61,20,1,26,13,,2.58,,0,2,0,295,,33
AsanoKa95,1940,1,HNK,,11,7,27,11,13,5,,544,132,33,1,61,49,0.203,1.64,,1,3,0,729,2,46
AsaokSa95,1940,1,TSU,,14,9,41,33,20,7,,845,199,52,8,106,85,,1.66,,0,0,0,1126,,71
FujimTa95,1940,1,HAN,,7,3,21,12,6,6,,319,59,13,0,55,39,,1.1,,2,2,0,424,,21
FukaoFu95,1940,1,YAM,,0,0,1,0,0,0,,9,13,17,0,11,1,,51,,0,1,0,33,,17
FukusIs95,1940,1,LIO,,7,21,50,29,8,0,,712,210,74,2,117,92,,2.81,,2,2,1,1052,,107
FuruyKu95,1940,1,NGK,,9,19,43,35,16,2,,853,230,81,5,134,112,,2.56,,2,3,0,1212,,114
GoSh95,1940,1,KYO,,0,0,1,1,0,0,,21,9,9,1,2,3,,11.57,,0,0,0,30,,9
HasegSh80,1940,1,KUR,,12,11,32,25,16,2,,643,148,41,0,156,66,,1.72,,3,3,0,935,,78
HashiSh95,1940,1,HNK,,1,0,3,3,0,0,,29,6,2,0,5,3,0.176,1.86,,0,0,1,39,0,2
HidakTo95,1940,1,HNK,,0,1,1,1,0,0,,7,2,3,0,0,0,0.222,11.57,,0,1,0,10,0,3
HiranSh95,1940,1,YAM,,0,5,9,5,1,0,,127,44,19,1,19,16,,4.04,,0,1,0,195,,32
IshidMi95,1940,1,HNK,,16,13,43,12,18,4,,851,173,53,3,132,97,0.179,1.68,,5,4,0,1137,12,80
IshihSh95,1940,1,TSU,,0,1,5,1,0,0,,46,23,12,0,9,6,0.333,7.04,,0,2,0,80,3,17
IsobeTa95,1940,1,NGK,,0,0,1,0,0,0,,1,2,2,0,1,0,,54,,0,0,0,4,,2
IwamoYo96,1940,1,YAM,,0,0,1,0,0,0,,3,0,0,0,3,0,,0,,0,0,0,5,,0
IzumiKi80,1940,1,KYO,,1,1,5,1,0,0,,56,11,6,0,16,4,,2.89,,0,0,0,81,,7
IzutsKe95,1940,1,LIO,,0,3,24,1,0,0,,247,80,28,1,30,23,,3.06,,1,2,1,359,,41
KamedTa95,1940,1,KUR,,26,23,56,52,43,10,,1370,247,90,6,273,297,,1.77,,6,9,0,1837,,127
KamedTo95,1940,1,HAN,,2,1,5,1,0,0,,59,14,2,0,13,8,,0.92,,0,0,3,79,,3
KanekYu95,1940,1,TSU,,2,6,21,2,0,0,,230,79,41,2,50,23,,4.81,,1,2,1,358,,53
KaritHi95,1940,1,TSU,,0,1,2,0,0,0,,27,12,6,1,5,5,,6,,0,0,0,43,,9
KawakTe95,1940,1,KYO,,3,2,6,3,1,0,,81,18,3,1,22,15,,1,,1,1,0,118,,7
KawamAk95,1940,1,NAG,,2,3,16,8,2,0,,199,49,19,2,28,23,,2.58,,0,1,0,268,,25
KawasTo95,1940,1,YAM,,1,4,11,6,2,0,,144,38,16,0,25,24,,3,,0,0,0,205,,24
KikuyYo95,1940,1,LIO,,8,27,47,34,19,1,,858,243,88,4,158,112,,2.77,,9,3,0,1260,,133
KimurTs95,1940,1,YAM,,0,1,2,0,0,0,,9,5,4,0,7,1,,12,,0,0,0,20,,5
KinosIs95,1940,1,HAN,,17,11,42,27,9,4,,672,171,47,2,59,75,,1.89,,0,4,1,887,,73
KobaySh96,1940,1,TSU,,0,0,1,0,0,0,,10,3,2,0,3,0,,5.4,,0,0,0,18,,4
KondoHi95,1940,1,LIO,,9,22,47,34,17,6,,851,222,81,1,121,154,,2.57,,1,3,0,1187,,115
KurodKe95,1940,1,HNK,,0,0,1,0,0,0,,9,0,0,0,3,1,0,0,,0,0,0,12,1,0
KusunYa95,1940,1,KYO,,1,1,5,2,1,0,,65,20,6,2,17,6,,2.49,,0,1,0,105,,12
MatsuKo99,1940,1,NAG,,13,13,38,27,14,5,,692,170,43,4,117,68,,1.68,,1,4,0,959,,57
MatsuMi99,1940,1,NGK,,1,0,3,2,1,0,,51,13,1,0,12,5,,0.53,,0,2,0,77,,2
MatsuRi95,1940,1,NGK,,0,0,2,0,0,0,,19,9,5,0,5,2,,7.11,,0,0,0,33,,5
MitomTs95,1940,1,TSU,,6,11,27,17,8,0,,435,125,44,2,49,48,,2.73,,0,1,0,607,,57
MiwaHa95,1940,1,HAN,,16,5,47,27,10,7,,680,152,38,2,112,112,,1.51,,2,5,0,912,,47
MoriHi95,1940,1,HNK,,28,13,54,5,30,8,,1132,251,54,6,82,97,0.189,1.29,,1,7,0,1450,18,81
MoriiSh95,1940,1,NAG,,0,1,1,0,0,0,,18,7,4,1,3,1,,6,,0,0,0,31,,7
MuramCh95,1940,1,TSU,,1,0,11,0,0,0,,107,32,15,1,15,10,,3.79,,0,0,0,152,,20
MuramYu95,1940,1,NAG,,21,13,51,35,18,3,,890,240,50,5,72,64,,1.52,,3,1,0,1174,,78
NagaoSa95,1940,1,NGK,,2,4,23,9,2,0,,235,70,27,0,42,22,,3.1,,0,1,1,346,,35
NaitoKo95,1940,1,NGK,,4,10,41,21,7,0,,546,135,75,3,160,96,,3.71,,2,6,1,843,,95
NakagMi96,1940,1,KUR,,7,15,32,22,15,0,,579,164,69,6,108,55,,3.22,,2,2,0,832,,92
NakamMa95,1940,1,YAM,,12,24,48,42,26,3,,1060,271,78,1,180,104,,1.99,,3,7,0,1506,,124
NakaoHi95,1940,1,KYO,,26,11,48,40,30,5,,1041,223,68,4,212,225,,1.76,,4,4,1,1443,,93
NakayMa95,1940,1,NGK,,18,29,61,45,19,2,,1102,305,117,2,216,193,,2.87,,4,4,0,1601,,169
NishiMi94,1940,1,NAG,,20,9,44,32,20,6,,829,223,59,5,151,107,,1.92,,3,4,1,1169,,85
NogucJi95,1940,1,TSU,,33,11,57,45,29,7,,1161,245,40,7,65,273,,0.93,,0,4,1,1466,,67
OkamoTo96,1940,1,NAG,,1,1,5,3,2,0,,81,23,9,0,16,9,,3,,0,0,0,113,,9
OmiyaKi95,1940,1,NGK,,0,1,2,0,0,0,,6,2,3,0,3,1,,13.5,,0,1,0,12,,3
OnodeHi95,1940,1,KUR,,0,0,2,0,0,0,,8,4,4,0,7,2,,13.5,,0,0,0,19,,4
OsawaNo95,1940,1,NAG,,1,1,9,1,0,0,,105,32,14,0,20,15,,3.6,,0,1,0,161,,18
RyuSe95,1940,1,YAM,,2,8,30,15,6,0,,390,129,43,2,73,28,,2.98,,1,2,0,611,,66
SawamEi95,1940,1,KYO,,7,1,12,9,7,1,,238,44,23,1,47,31,,2.61,,0,1,0,325,,26
ShigeMi95,1940,1,HNK,,4,3,13,5,4,0,,230,46,12,0,41,24,0.173,1.41,,1,1,0,317,3,26
ShimiHi95,1940,1,YAM,,11,23,42,36,25,3,,924,200,60,0,217,270,,1.75,,5,1,0,1343,,119
StarfVi95,1940,1,KYO,,38,12,55,50,41,16,,1308,241,47,3,145,245,,0.97,,5,4,0,1688,13,67
TamakTa95,1940,1,KUR,,1,5,9,7,5,1,,187,58,27,1,47,11,,3.9,,0,0,0,280,,34
TsuriTs95,1940,1,HAN,,0,0,3,0,0,0,,21,5,2,0,5,1,,2.57,,0,0,0,29,,2
WakabTa95,1940,1,HAN,,22,17,56,41,23,6,,1042,266,70,5,108,88,,1.81,,0,4,0,1380,,94
YamadDe95,1940,1,HNK,,1,1,4,1,1,0,,74,19,10,0,12,11,0.218,3.65,,0,1,0,100,2,10
YamamHi97,1940,1,LIO,,0,3,13,0,0,0,,107,34,13,1,12,8,,3.28,,0,0,0,153,,20
YoshiKi96,1940,1,YAM,,0,1,2,0,0,0,,9,2,4,0,3,2,,12,,0,0,0,14,,4
AsanoKa95,1941,1,HNK,,2,6,12,4,5,1,,211,72,29,1,27,18,0.265,3.71,,0,3,0,310,2,41
AsaokSa95,1941,1,TAY,,11,6,29,22,10,3,,538,123,32,7,75,45,,1.61,,0,0,0,714,,41
EdaTa95,1941,1,HNK,,3,3,9,5,0,0,,143,32,10,0,37,8,0.194,1.89,,1,1,1,206,4,13
FujimTa95,1941,1,HAN,,12,10,33,25,12,4,,620,148,38,0,109,61,,1.65,,1,4,0,858,,50
FukusIs95,1941,1,ASA,,17,28,57,46,31,5,,1190,293,83,6,234,116,,1.88,,3,8,0,1684,,121
FuruyKu95,1941,1,TAY,,3,7,26,17,5,0,,410,105,21,3,59,36,,1.38,,6,0,0,566,,35
HasegSh80,1941,1,KUR,,2,7,13,9,6,1,,230,62,34,2,64,13,,3.99,,1,2,0,346,,45
HasegZe95,1941,1,YAM,,0,2,5,1,0,0,,58,12,7,1,19,2,,3.26,,0,0,0,88,,9
HashiSh95,1941,1,HNK,,6,1,14,9,4,4,,232,48,9,0,35,26,0.178,1.05,,0,0,0,307,1,17
HatafTo95,1941,1,KUR,,7,14,26,17,13,3,,458,110,44,5,93,50,,2.59,,1,1,0,655,,61
HirosSh96,1941,1,KYO,,8,4,14,12,9,4,,317,66,19,0,44,27,,1.62,,0,3,1,424,,23
IshidMi95,1941,1,YAM,,6,7,28,17,6,3,,420,79,15,1,91,52,,0.96,,1,3,0,574,,30
IshihSh95,1941,2,KUR,,5,10,33,7,9,2,,583,169,63,6,95,47,0.237,2.92,,0,1,0,839,14,78
IshihSh95,1941,1,TAY,,0,0,1,1,0,0,,5,2,2,0,2,0,0.286,10.8,,0,0,0,9,0,2
IzumiKi80,1941,1,KYO,,3,1,16,7,1,0,,177,44,13,2,44,9,,1.98,,0,0,0,254,,24
IzutsKe95,1941,1,ASA,,0,2,9,0,0,0,,84,21,12,1,21,4,,3.86,,1,0,1,126,,19
KamedTa95,1941,1,KUR,,6,9,16,14,8,1,,339,82,39,5,75,54,,3.11,,4,0,2,490,,53
KandaTa95,1941,1,YAM,,25,15,52,40,25,7,,1034,243,61,5,113,106,,1.59,,0,0,0,1356,,82
KanekYu95,1941,1,KUR,,1,6,16,8,3,1,,211,61,23,0,62,25,,2.94,,0,0,1,319,,28
KasamMi95,1941,1,HNK,,11,11,39,19,11,1,,702,147,51,0,141,89,0.182,1.96,,2,2,0,971,8,69
KawakTe95,1941,1,KYO,,0,0,3,0,0,0,,14,10,9,0,6,1,,17.36,,0,1,0,29,,9
KawamAk95,1941,1,NAG,,14,10,36,25,14,5,,639,139,35,3,80,61,,1.48,,0,4,1,845,,47
KawasTo95,1941,1,YAM,,12,16,46,33,13,4,,803,190,69,7,144,121,,2.32,,1,2,0,1103,,86
KikuyYo95,1941,1,ASA,,0,0,1,0,0,0,,17,4,1,0,10,2,,1.59,,1,0,0,30,,2
KinosIs95,1941,1,HAN,,5,3,14,9,5,0,,240,59,11,0,22,12,,1.24,,0,0,1,318,,17
KinosTe95,1941,1,HAN,,4,4,16,9,3,2,,221,55,13,1,31,17,,1.59,,0,2,0,264,,16
MatsuKo99,1941,1,NAG,,0,6,16,0,0,0,,149,34,26,1,54,19,,4.71,,2,2,0,230,,31
MisonTa95,1941,1,HAN,,0,2,4,0,0,0,,21,10,1,0,5,2,,1.29,,0,0,0,34,,4
MitomTs95,1941,1,TAY,,6,9,27,14,3,2,,350,82,19,3,40,30,,1.47,,2,0,0,471,,28
MiwaHa95,1941,1,HAN,,2,7,27,14,2,1,,347,99,29,1,78,55,,2.26,,2,3,0,509,,42
MizobTa95,1941,1,HNK,,1,2,9,4,0,0,,100,34,9,0,22,16,0.276,2.43,,0,2,0,149,3,16
MoriHi95,1941,1,HNK,,30,8,48,1,23,11,,1000,200,33,3,83,85,0.174,0.89,,1,3,0,1262,24,48
MoriiSh95,1941,1,NAG,,4,6,23,3,0,0,,270,75,27,3,47,39,,2.7,,1,2,0,390,,37
MuramYu95,1941,1,NAG,,12,10,28,24,18,5,,632,130,23,1,50,61,,0.98,,0,1,0,788,,33
NagaoSa95,1941,1,TAY,,1,2,12,1,0,0,,120,34,10,2,22,12,,2.25,,0,0,0,169,,14
NaitoKo95,1941,1,ASA,,0,1,6,0,0,0,,32,18,10,1,15,6,,8.44,,0,2,0,64,,10
NakagMi96,1941,1,KUR,,7,9,23,18,7,3,,430,118,37,5,60,27,,2.32,,0,0,0,584,,42
NakaoHi95,1941,1,KYO,,26,9,41,35,23,10,,897,160,51,3,181,179,,1.54,,3,1,0,1212,,63
NakayMa95,1941,1,TAY,,1,1,5,0,0,0,,46,7,5,0,12,4,,2.93,,0,0,0,63,,6
NishiMi94,1941,1,NAG,,7,13,41,24,7,2,,595,146,35,3,116,63,,1.59,,1,3,0,839,,57
NogucJi95,1941,1,TAY,,25,12,48,40,25,10,,1014,201,33,5,85,168,,0.88,,0,1,1,1275,,44
NomurTa96,1941,1,ASA,,1,9,17,7,2,0,,194,52,27,0,59,28,,3.76,,2,1,1,303,,40
OkamoTo96,1941,1,NAG,,0,2,9,0,0,0,,62,18,6,1,16,9,,2.61,,0,1,0,97,,12
SawamEi95,1941,1,KYO,,9,5,20,19,11,6,,461,108,35,3,58,73,,2.05,,2,2,0,606,,37
StarfVi95,1941,1,KYO,,15,3,20,17,13,4,,450,93,20,3,45,58,,1.2,,2,1,0,587,5,28
TadaFu95,1941,1,KYO,,1,0,7,3,1,0,,89,23,9,0,29,13,,2.73,,0,0,0,133,,9
TakeuAi95,1941,1,ASA,,0,0,1,0,0,0,,8,3,1,0,6,2,,3.38,,1,1,0,18,,5
TamakTa95,1941,1,KUR,,0,1,1,1,1,0,,27,10,1,0,5,1,,1,,0,0,0,41,,3
TanakYo96,1941,1,HAN,,0,0,1,0,0,0,,3,0,0,0,1,0,,0,,0,0,0,5,,0
TokusTa95,1941,1,YAM,,0,0,1,0,0,0,,4,3,3,0,2,1,,20.25,,0,0,0,9,,3
WakabTa95,1941,1,HAN,,18,17,42,40,21,2,,965,234,52,2,102,87,,1.45,,1,1,0,1264,,70
WatanSe95,1941,1,HAN,,0,0,1,0,0,0,,3,0,0,0,3,0,,0,,0,0,0,5,,0
YamamHi97,1941,1,ASA,,7,19,45,35,11,0,,835,221,62,4,144,68,,2,,1,6,1,1183,,97
YokotSu80,1941,1,ASA,,0,0,1,0,0,0,,3,0,0,0,1,0,,0,,0,0,0,4,,0
YoshiKi96,1941,1,YAM,,0,1,5,0,0,0,,45,13,4,0,14,3,,2.4,,0,0,0,66,,4
AsaokSa95,1942,1,TAY,,1,0,4,2,1,1,,57,15,4,0,2,3,,1.89,,0,0,0,73,,5
BesshTa95,1942,1,YAM,,0,1,2,2,1,0,,39,11,3,0,6,8,,2.08,,0,0,0,59,1,7
EdaTa95,1942,1,HNK,,0,0,1,0,0,0,,12,8,4,0,1,1,0.364,9,,0,0,0,23,1,5
FujimHi95,1942,1,KYO,,10,0,14,13,9,4,,333,64,10,2,36,53,,0.81,,0,0,0,433,,15
FujimTa95,1942,1,HAN,,3,5,21,9,3,2,,240,47,18,1,56,29,,2.03,,0,1,0,343,,34
FukusIs95,1942,1,ASA,,9,9,24,21,11,2,,518,138,36,0,92,47,,1.88,,1,1,0,731,,53
FuruyKu95,1942,1,TAY,,5,7,22,15,7,3,,378,82,23,3,50,46,,1.64,,0,2,0,513,,37
HasegZe95,1942,1,YAM,,0,1,9,0,0,0,,71,19,7,0,5,6,,2.66,,0,0,0,94,,7
HashiSh95,1942,1,HNK,,2,1,10,8,1,1,,119,37,18,0,25,5,0.253,4.08,,0,0,0,177,1,23
HatafTo95,1942,1,YAM,,3,18,35,28,19,3,,727,194,60,9,99,62,,2.23,,0,5,0,1021,,80
HayasYa95,1942,1,ASA,,32,22,71,64,44,12,,1624,351,61,6,134,145,,1.01,,1,4,0,2079,,105
